wetland,station,max_depth_m,mean_depth_m,median_depth_m,min_depth_m,dur_day,n_events
BB,SC-A,-0.142325948659465,-0.28366966999101473,-0.3216806688221555,-0.33396206079474,30,1
BB,SC-B,-0.0874619486594653,-0.22880566999101468,-0.2668166688221555,-0.279098060794739,30,1
BB,SC-C,0.066312130463365,-0.0714866614687564,-0.1083206688221555,-0.12060206079474,30,1
BB,SC-D,0.210867783889919,0.07536553536218643,0.042839185843596445,0.0295907368146065,30,1
BB,SC-E,0.3702224818386,0.22898796564030482,0.19362438844756702,0.177437718627862,23,1
DB,SC-A,0.33367407301794,0.16413962443434904,0.121010582058654,0.0861810202705131,25,1
DB,SC-B,0.430311206886743,0.2551378034907214,0.2080402374714655,0.179959279463538,23,1
DB,SC-C,0.533044340755545,0.3522319825470938,0.301165892884277,0.277186796837198,14,1
DB,SC-D,0.869157852580615,0.6808268879555904,0.6291318337814985,0.605959486668743,0,0
DB,SC-E,1.11185793134009,0.9131888828922732,0.869001451092948,0.838565935187119,0,0
DK,SC-A,0.2898617607367,0.1644227019477,0.1365655424390915,0.110853133384605,30,1
DK,SC-B,0.625529151959119,0.4772274373421952,0.4433804825385345,0.421812832242698,0,0
DK,SC-C,1.01572805088583,0.8390477067870432,0.7955734209263521,0.773121223822187,0,0
DK,SC-D,1.24740489330894,1.0466110031820286,0.9979240729806484,0.966416138984806,0,0
DK,SC-E,1.37188582642167,1.1470758875276397,1.0875905001757449,1.0520342494485,0,0
ND,SC-A,0.259812075065927,0.14222481978711782,0.11480506932711951,0.0832182079660101,30,1
ND,SC-B,0.4994782769457,0.3699813886144109,0.3368307891775465,0.308893299427926,0,0
ND,SC-C,0.799363296177001,0.6557906746008929,0.6165434273162984,0.589421410406601,0,0
ND,SC-D,1.08511403662189,0.9209340422977984,0.874411454640052,0.84777469595061,0,0
ND,SC-E,1.45578881723664,1.2713678034578697,1.2201270501157548,1.19153908752939,0,0
QB,SC-A,0.00101160020283489,-0.04574170016598693,-0.056610258441891,-0.067249229595784,30,1
QB,SC-B,0.208354174311244,0.15657664141361582,0.1444548767105745,0.133579313176404,30,1
QB,SC-C,0.426471586693548,0.36427581496576295,0.351873417725712,0.332204163732185,0,0
QB,SC-D,0.486092999075851,0.41347898851790993,0.4007959587408485,0.368642001299028,0,0
QB,SC-E,0.821665249732048,0.7379818604170661,0.7249179717790859,0.679581703713799,0,0
TB,SC-A,0.451353223472448,0.28681751080061935,0.24184777592526202,0.222515230136519,22,1
TB,SC-B,0.527672864636874,0.3632611916014161,0.317510049506934,0.299509599239423,1,1
TB,SC-C,0.678535177532023,0.5143020005586602,0.4703684741132505,0.451342862094821,0,0
TB,SC-D,0.859479306641024,0.6954090335052975,0.654864997849157,0.633173125456984,0,0
TB,SC-E,0.993438348225312,0.8296007948576365,0.793898888900452,0.768398073117216,0,0
